fips,name,pop2010,pop2020,pop2030,pop2040
1,Alabama,4779736,4931806,5083599,5128561
2,Alaska,710231,764911,822972,866600
4,Arizona,6392017,7248162,8210714,9103179
5,Arkansas,2915918,3035704,3157232,3213755
6,California,37253956,40938164,44941488,48286484
8,Colorado,5029196,5874462,6854893,7828749
9,Connecticut,3574097,3606144,3634820,3585765
10,Delaware,897934,991570,1093869,1181045
11,District of Columbia,601723,743111,916799,1107014
12,Florida,18801310,21700027,25020477,28235139
13,Georgia,9687653,10716537,11842775,12808892
15,Hawaii,1360301,1499329,1650906,1779125
16,Idaho,1567582,1738146,1925330,2087293
17,Illinois,12830632,12886619,12929838,12697149
18,Indiana,6483802,6745069,7009809,7129926
19,Iowa,3046355,3195757,3349116,3435150
20,Kansas,2853118,2965624,3079467,3129638
21,Kentucky,4339367,4504111,4670409,4739798
22,Louisiana,4533372,4798577,5074190,5251460
23,Maine,1328361,1330204,1330709,1302889
24,Maryland,5773552,6225156,6705335,7068866
25,Massachusetts,6547629,7025717,7531133,7901128
26,Michigan,9883640,9957936,10022703,9873234
27,Minnesota,5303925,5663175,6040677,6306239
28,Mississippi,2967297,3015167,3060728,3040865
29,Missouri,5988927,6170685,6351566,6398634
30,Montana,989415,1073985,1164612,1236013
31,Nebraska,1826341,1961686,2104942,2210599
32,Nevada,2700551,3074545,3496813,3892449
33,New Hampshire,1316470,1343530,1369768,1366803
34,New Jersey,8791894,9111014,9432224,9556978
35,New Mexico,2059179,2108851,2157549,2160402
36,New York,19378102,20181453,20996975,21380610
37,North Carolina,9535483,10525024,11605573,12524753
38,North Dakota,672591,842308,938167,1044934
39,Ohio,11536504,11683458,11820388,11704452
40,Oklahoma,3751351,4061960,4393864,4651753
41,Oregon,3831074,4216827,4636755,4990011
42,Pennsylvania,12702379,12893771,13074888,12976425
44,Rhode Island,1052567,1059685,1065779,1049098
45,South Carolina,4625364,5154774,5739003,6253488
46,South Dakota,814180,900612,995219,1076362
47,Tennessee,6346105,6839046,7362867,7758137
48,Texas,25145561,29755854,35176014,40698640
49,Utah,2763885,3222596,3753660,4279204
50,Vermont,625741,626314,626258,612877
51,Virginia,8001024,8744273,9546958,10201530
53,Washington,6724540,7599119,8578809,9478722
54,West Virginia,1852994,1836143,1817616,1760989
55,Wisconsin,5686986,5848732,6009031,6042354
56,Wyoming,563626,607219,653525,688396